spanish,english
Necesito comprar uno.,I need to buy one.
Necesito conseguir uno.,I need to get one.
Necesito regresar.,I need to go back.
Necesito ir a casa.,I need to go home.
Tengo que irme a casa.,I need to go home.
Necesitaba ese trabajo.,I needed that job.
Nunca compro azúcar.,I never buy sugar.
Nunca me emborracho.,I never get drunk.
Nunca he tenido coche.,I never had a car.
Nunca te amé.,I never loved you.
Nunca dije eso.,I never said that.
Ordené una pizza.,I ordered a pizza.
Me volví a quedar dormido.,I overslept again.
Le debo mi vida a Tom.,I owe Tom my life.
Le debo 100 yenes.,I owe him 100 yen.
A él le debo mi vida.,I owe him my life.
Le debo la vida.,I owe him my life.
Te debo un favor.,I owe you a favor.
Te debo un almuerzo.,I owe you a lunch.
No te debo nada.,I owe you nothing.
Toco la guitarra.,I play the guitar.
Toco el violín.,I play the violin.
La tiré un puñetazo a la mandíbula.,I punched his jaw.
Me encontré con un ciervo.,I ran into a deer.
Choqué contra un árbol.,I ran into a tree.
Me quedé sin bencina.,I ran out of fuel.
Leí algunos libros.,I read some books.
Realmente lo siento.,I really am sorry.
Realmente lo dudo.,I really doubt it.
Salvé al gato.,I rescued the cat.
Dije que lo entiendo.,I said I'd get it.
Me senté a su lado.,I sat by his side.
Me senté a su lado.,I sat next to him.
Me senté sobre el bordillo.,I sat on the curb.
Te he salvado la vida.,I saved your life.
Esta noche he visto a Tom.,I saw Tom tonight.
Esta noche vi a Tom.,I saw Tom tonight.
Vi un avión.,I saw an airplane.
Lo vi correr.,I saw him running.
Lo vi corriendo.,I saw him running.
Vi el amanecer.,I saw the sunrise.
Te vi cocinar.,I saw you cooking.
Le he visto cocinar.,I saw you cooking.
Ya veo el problema.,I see the problem.
Veo que lees.,I see you reading.
Parece que estoy perdido.,I seem to be lost.
Le envié una muñeca.,I sent her a doll.
Comparto tu idea.,I share your idea.
Concuerdo contigo.,I share your idea.
Debería largarme.,I should head out.
No debería beber.,I shouldn't drink.
Firmé el formulario.,I signed the form.
Dormí hasta el amanecer.,I slept till dawn.
Reconozco mi error.,I stand corrected.
Sigo jugando al billar.,I still play pool.
Dejé de fumar tabaco.,I stopped smoking.
Dejé de fumar.,I stopped smoking.
Estudio en la escuela.,I study at school.
Creo que me gusta.,I think I like it.
Creo que estoy listo.,I think I'm ready.
Creo que estoy lista.,I think I'm ready.
Creo que tengo razón.,I think I'm right.
Creo que lo hizo él.,I think he did it.
Pienso que se ha terminado.,I think it's over.
Creo que es verdad.,I think it's true.
Tengo una opinión diferente.,I think otherwise.
Eso pensaba.,I thought as much.
Me tomé el lunes libre.,I took Monday off.
Me tomé una semana libre.,I took a week off.
Obtuve mi venganza.,I took my revenge.
Me vengué.,I took my revenge.
Intenté escapar.,I tried to escape.
La quería de verdad.,I truly loved her.
Lo entiendo.,I understand that.
Entiendo esto.,I understand this.
Comprendo esto.,I understand this.
Lo comprendo.,I understand this.
Comúnmente como afuera.,I usually eat out.
Quiero a Tom muerto.,I want Tom killed.
Quiero que Tom gane.,I want Tom to win.
Quiero un ordenador.,I want a computer.
Quiero una computadora.,I want a computer.
Quiero un descuento.,I want a discount.
Quiero mucho más.,I want a lot more.
Quiero un nuevo horno.,I want a new oven.
Quiero una disculpa.,I want an apology.
Quiero más dinero.,I want more money.
Quiero mi libertad.,I want my freedom.
Quiero algo de dinero.,I want some money.
Quiero algo de papel.,I want some paper.
Quiero un poco de papel.,I want some paper.
Yo quiero agua.,I want some water.
Los quiero vivos.,I want them alive.
Quiero ser libre.,I want to be free.
Quiero estar aquí.,I want to be here.
Quiero ser rico.,I want to be rich.
Quiero ser rica.,I want to be rich.
Quiero estar segura.,I want to be sure.
Quiero creer.,I want to believe.
Quiero entrar.,I want to come in.
Quiero competir.,I want to compete.
Quiero confesar.,I want to confess.
Lo quiero explicar.,I want to explain.
Quiero explicar.,I want to explain.
Quiero regresar.,I want to go back.
Quiero volver.,I want to go back.
Me quiero ir a casa.,I want to go home.
Quiero irme a casa.,I want to go home.
Quiero leerlo.,I want to read it.
Quiero ver a Tom.,I want to see Tom.
Quiero verlo.,I want to see him.
Quiero verte.,I want to see you.
Yo quería una chaqueta.,I wanted a jacket.
Quería luchar.,I wanted to fight.
Estaba por irme.,I was about to go.
Estaba indefenso.,I was defenseless.
Estuve indefenso.,I was defenseless.
Estaba frustrado.,I was discouraged.
Estaba avergonzado.,I was embarrassed.
Yo estaba en el área.,I was in the area.
Yo estuve en el área .,I was in the area.
Solo estaba bromeando.,I was just joking.
Me dejaron atrás.,I was left behind.
No estaba celoso.,I was not jealous.
Solo estaba bromeando.,I was only joking.
Estuve afuera todo el día.,I was out all day.
Estaba realmente atrasado.,I was really late.
Tenía mucha hambre.,I was very hungry.
No estaba soñando.,I wasn't dreaming.
No estaba listo.,I wasn't prepared.
No estaba preparado.,I wasn't prepared.
No fui puntual.,I wasn't punctual.
Seguí leyendo.,I went on reading.
Fui al zoológico.,I went to the zoo.
Fui al zoo.,I went to the zoo.
Daré lo mejor.,I will do my best.
¡Nunca lo diré!,I will never tell!
Me quedaré ahí.,I will stay there.
Yo quisiera poder ir.,I wish I could go.
Me desperté a las dos y media.,I woke up at 2:30.
Gané el primer premio.,I won first place.
Me gané la lotería.,I won the lottery.
No te voy a juzgar.,I won't judge you.
Me preocupo por él.,I worry about him.
Yo hubiera esperado.,I would've waited.
Yo escribí ese libro.,I wrote that book.
Yo he escrito este libro.,I wrote this book.
Escribí este libro.,I wrote this book.
Lo agradecería.,I'd appreciate it.
Estaría devastado.,I'd be devastated.
Volveré pronto.,I'll be back soon.
Volveré luego.,I'll be back soon.
Voy a volver pronto.,I'll be back soon.
Estaré en Boston.,I'll be in Boston.
Estaré a solas.,I'll be on my own.
Yo cocinaré esta noche.,I'll cook tonight.
Lo haré yo mismo.,I'll do it myself.
Haré algo.,I'll do something.
Lo devolveré.,I'll give it back.
Iré solo.,I'll go on my own.
Ire sola.,I'll go on my own.
Iré a Boston.,I'll go to Boston.
Iré a Londres.,I'll go to London.
Me esconderé aquí dentro.,I'll hide in here.
Pagaré cualquier cosa.,I'll pay anything.
Pagaré por esto.,I'll pay for this.
Yo pagaré la cuenta.,I'll pay the bill.
Oraré por Tom.,I'll pray for Tom.
Rezaré por Tom.,I'll pray for Tom.
Lo volveré a decir.,I'll say it again.
Te veré pronto.,I'll see you soon.
Voy a mandar flores.,I'll send flowers.
Te dejaré libre.,I'll set you free.
Te liberaré.,I'll set you free.
Te esperaré.,I'll wait for you.
Esperaré afuera.,I'll wait outside.
Trabajaré en eso.,I'll work on that.
Le escribiré a Tom.,I'll write to Tom.
Soy canadiense también.,"I'm Canadian, too."
Soy el hermano de Tom.,I'm Tom's brother.
Soy un buen sujeto.,I'm a good person.
Soy un buen marinero.,I'm a good sailor.
Estoy un poco ocupado.,I'm a little busy.
Estoy un poco enfermo.,I'm a little sick.
Soy un hombre casado.,I'm a married man.
Soy una chica normal.,I'm a normal girl.
Soy un hombre paciente.,I'm a patient man.
Soy dependiente.,I'm a salesperson.
Tengo miedo de ti.,I'm afraid of you.
Casi tengo treinta años.,I'm almost thirty.
Ya estoy listo.,I'm already ready.
Ya estoy lista.,I'm already ready.
Ya estoy preparado.,I'm already ready.
Ya estoy preparada.,I'm already ready.
Siempre estoy hambriento.,I'm always hungry.
Soy astrónomo.,I'm an astronomer.
Soy tan viejo como tú.,I'm as old as you.
Ahora estoy en el colegio.,I'm at school now.
Estoy en la prisión.,I'm at the prison.
Estoy enterado de eso.,I'm aware of that.
Soy consciente de eso.,I'm aware of that.
Se me dan mal los deportes.,I'm bad at sports.
Estoy siendo cuidadoso.,I'm being careful.
Estoy siendo observado.,I'm being watched.
Traigo vino.,I'm bringing wine.
Me estoy concentrando.,I'm concentrating.
Estoy bebiendo leche.,I'm drinking milk.
Estoy comiendo una pera.,I'm eating a pear.
Estoy esperando a Tom.,I'm expecting Tom.
Tengo bastante hambre.,I'm fairly hungry.
Me siento genial.,I'm feeling great.
Me siento cansado.,I'm feeling tired.
Soy de la ciudad.,I'm from the city.
Me estoy poniendo feliz.,I'm getting happy.
Estoy empeorando.,I'm getting worse.
Me alegra que Tom esté bien.,I'm glad Tom's OK.
Voy a ir de pesca.,I'm going fishing.
Voy a saltar.,I'm going to jump.
Voy a esperar.,I'm going to wait.
Estoy feliz por vos.,I'm happy for you.
Estoy aquí para aprender.,I'm here to learn.
Estoy aquí con Tom.,I'm here with Tom.
Estoy en Boston ahora.,I'm in Boston now.
Estoy de mal humor.,I'm in a bad mood.
Estoy rayado.,I'm in a bad mood.
Estoy en el baño.,I'm in the toilet.
Estoy en el toilette.,I'm in the toilet.
Solo estoy mirando.,I'm just watching.
Estoy llevando la cuenta.,I'm keeping count.
Estoy más o menos feliz.,I'm kind of happy.
Estoy adelgazando.,I'm losing weight.
Estoy haciendo café.,I'm making coffee.
Estoy preparando la cena.,I'm making dinner.
No soy ningún paciente.,I'm not a patient.
No soy un soldado.,I'm not a soldier.
No soy un estudiante.,I'm not a student.
No soy profesor.,I'm not a teacher.
No soy profesora.,I'm not a teacher.
No estoy convencida.,I'm not convinced.
No soy olvidadizo.,I'm not forgetful.
No abandono.,I'm not giving up.
No estoy apurado.,I'm not in a rush.
No estoy mintiendo ahora.,I'm not lying now.
Ahora no miento.,I'm not lying now.
No estoy convencido.,I'm not persuaded.
No me convence.,I'm not persuaded.
No me persuade.,I'm not persuaded.
Aún no estoy listo.,I'm not ready yet.
No soy tan rápido.,I'm not that fast.
Yo no soy tu marioneta.,I'm not your doll.
Voy saliendo.,I'm on my way out.
Solo tengo 18 años.,I'm only eighteen.
Estoy echando los bofes.,I'm out of breath.
Estoy echando el hígado.,I'm out of breath.
Se me sale el corazón por la boca.,I'm out of breath.
Tengo el corazón en la boca.,I'm out of breath.
Estoy sin aliento.,I'm out of breath.
Estoy realmente hambriento.,I'm really hungry.
Estoy muy hambriento.,I'm really hungry.
Estoy viendo doble.,I'm seeing double.
Estoy viendo fantasmas.,I'm seeing ghosts.
Lo siento por ti.,I'm sorry for you.
Todavía estoy de servicio.,I'm still on duty.
Todavía tengo sed.,I'm still thirsty.
Todavía estoy esperando.,I'm still waiting.
Todavía estoy preocupado.,I'm still worried.
Me voy a dar un baño.,I'm taking a bath.
Me estoy bañando.,I'm taking a bath.
Estoy totalmente borracho.,I'm totally drunk.
Yo uso Twitter.,I'm using Twitter.
Estoy muy confundida.,I'm very confused.
Estoy con un cliente.,I'm with a client.
Yo soy tu vecino.,I'm your neighbor.
Soy tu vecino.,I'm your neighbor.
Me lastimé.,I've been injured.
He estado casada.,I've been married.
He estado esperando.,I've been waiting.
He estado preocupada.,I've been worried.
Llamé dos veces.,I've called twice.
Ya hice mi parte.,I've done my part.
No hice nada.,I've done nothing.
No he hecho nada.,I've done nothing.
Te he perdonado.,I've forgiven you.
Tengo malas noticias.,I've got bad news.
Estoy con diarrea.,I've got diarrhea.
Tengo cagalera.,I've got diarrhea.
Tengo evidencia.,I've got evidence.
Tengo las llaves.,I've got the keys.
He oído suficiente.,I've heard enough.
He oído acerca de ti.,I've heard of you.
He oído rumores.,I've heard rumors.
Yo he visitado Nara.,I've visited Nara.
Identifíquese.,Identify yourself.
¿Está lejos París?,Is Paris far away?
¿Está Tom involucrado en esto?,Is Tom in on this?
¿Tom está interesado?,Is Tom interested?
¿Está Tom en camino?,Is Tom on his way?
¿Tom sigue aquí?,Is Tom still here?
¿Todavía está ahí?,Is he still there?
¿Es cierta su historia?,Is her story true?
¿Es cierta su historia?,Is his story true?
¿Ahora está lloviendo?,Is it raining now?
¿Está lloviendo ahora?,Is it raining now?
¿Es hora de comer?,Is it time to eat?
¿Hay alguien ahí?,Is somebody there?
¿Hay alguien?,Is somebody there?
¿Este coche es nuevo?,Is that a new car?
¿Es importante?,Is that important?
¿Es oro puro?,Is that pure gold?
¿Es de oro puro?,Is that pure gold?
¿Es ése tu libro?,Is that your book?
¿Es ese tu objetivo?,Is that your goal?
¿Es esa tu habitación?,Is that your room?
¿Está listo el baño?,Is the bath ready?
¿Está lista la torta?,Is the cake ready?
¿La tarta está lista?,Is the cake ready?
¿Hay toque de queda?,Is there a curfew?
¿Este sombrero es tuyo?,Is this hat yours?
¿Este es nuestro hotel?,Is this our hotel?
¿Es oro puro?,Is this pure gold?
¿Está libre este asiento?,Is this seat free?
¿Esta es tu cerveza?,Is this your beer?
¿Este es tu vino?,Is this your wine?
¿El color de su carro es negro?,Is your car black?
¿Tu auto es negro?,Is your car black?
¿Tu esposa es alta?,Is your wife tall?
¿No es emocionante?,Isn't it exciting?
¿No es patético?,Isn't it pathetic?
¿No es impresionante?,Isn't it stunning?
¿Eso no es de ellos?,Isn't that theirs?
No puede ser cierto.,It cannot be true.
Cuesta demasiado caro.,It costs too much.
Podría ser fatal.,It could be fatal.
No es importante.,It doesn't matter.
Eso no importa.,It doesn't matter.
No importa.,It doesn't matter.
Se hizo pedazos.,It fell to pieces.
Funciona en ambos sentidos.,It goes both ways.
Hay que hacerlo.,It has to be done.
Debe de ser verdad.,It has to be true.
Es una buena torta.,It is a good cake.
Es una canción de amor.,It is a love song.
Es un perro pequeño.,It is a small dog.
Es una mentira piadosa.,It is a white lie.
No es un reloj.,It is not a watch.
No está lloviendo.,It is not raining.
Es nuestro destino.,It is our destiny.
Está lloviendo ahora.,It is raining now.
Ahora está lloviendo.,It is raining now.
Es de segunda mano.,It is second-hand.
Hoy es un día soleado.,It is sunny today.
Hoy hace sol.,It is sunny today.
Hoy es un día de sol.,It is sunny today.
Hoy hace viento.,It is windy today.
No es un secreto.,It isn't a secret.
Aún no se termina.,It isn't over yet.
Parece egipcio.,It looks Egyptian.
Se ve egipcio.,It looks Egyptian.
Me resulta familiar.,It looks familiar.
Quizás podría resultar desagradable.,It might get ugly.
Nunca pasó.,It never happened.
Llovió fuerte.,It rained heavily.
Llovió sin parar.,It rained nonstop.
Fue idea de Tom.,It was Tom's idea.
Era una mala idea.,It was a bad idea.
Fue un buen día.,It was a good day.
Era un libro nuevo.,It was a new book.
Era verde oscuro.,It was dark green.
Fue mi error.,It was my mistake.
No daba problemas.,It was no trouble.
No había ningún problema.,It was no trouble.
Era nuestro secreto.,It was our secret.
Fue muy divertido.,It was really fun.
Era tan obvio.,It was so obvious.
Era muy pequeño.,It was very small.
Estaba muy ventoso.,It was very windy.
Fue culpa tuya.,It was your fault.
No fue un sueño.,It wasn't a dream.
Eso no fue idea mía.,It wasn't my idea.
No estaba planeado.,It wasn't planned.
Fue muy bien.,It went very well.
Pasó muy bien.,It went very well.
Estuvo muy bien.,It went very well.
Volverá a crecer.,It will grow back.
A Tom le funcionó.,It worked for Tom.
Ocurrirá pronto.,It'll happen soon.
Ocurrirá en breve.,It'll happen soon.
Pasará pronto.,It'll happen soon.
Hoy es lunes.,It's Monday today.
Hoy es domingo.,It's Sunday today.
Esta es la oficina de Tom.,It's Tom's office.
Es un poco débil.,It's a bit flimsy.
Es un poco grasoso.,It's a bit greasy.
Es un barco de carga.,It's a cargo ship.
Es un día nublado.,It's a cloudy day.
Es un cumplido.,It's a compliment.
Es una conspiración.,It's a conspiracy.
Es un diccionario.,It's a dictionary.
Es un buen comienzo.,It's a good start.
Es una buena historia.,It's a good story.
Es una larga historia.,It's a long story.
Es una tarea simple.,It's a simple job.
Es una simple tarea.,It's a simple job.
Es un trabajo simple.,It's a simple job.
Es una ley estúpida.,It's a stupid law.
Es una historia real.,It's a true story.
Todo es culpa mía.,It's all my fault.
Ya todo terminó.,It's all over now.
Ya es tarde.,It's already late.
Es una emergencia.,It's an emergency.
Es un piano viejo.,It's an old piano.
Es un viejo piano.,It's an old piano.
Hace frío afuera.,It's cold outside.
Es confidencial.,It's confidential.
Está oscuro aquí.,It's dark in here.
Está oscuro fuera.,It's dark outside.
Es fácil para ti.,It's easy for you.
Son las ocho y media.,It's eight-thirty.
Es vivificante.,It's exhilarating.
Finalmente se acabó.,It's finally over.
"Por mí, está bien.",It's fine with me.
Ya terminó.,It's finished now.
Son las cinco.,It's five o'clock.
Se está poniendo helado.,It's getting cold.
Se está haciendo tarde.,It's getting late.
¡Todo va bien!,It's going nicely!
Es la naturaleza humana.,It's human nature.
Está en mi bolsillo.,It's in my pocket.
Sólo es un sueño.,It's just a dream.
Es solo un sueño.,It's just a dream.
Solo es una corazonada.,It's just a hunch.
Es como un sueño.,It's like a dream.
Es el de mi hermano.,It's my brother's.
Es de mi hermano.,It's my brother's.
No es nada grande.,It's no big thing.
No es nada importante.,It's no big thing.
No es ningún secreto.,It's not a secret.
No es un arma.,It's not a weapon.
No es culpa mía.,It's not my fault.
A mí no me mires.,It's not my fault.
No es mi estilo.,It's not my style.
No es tan malo.,It's not that bad.
No está tan lejos.,It's not that far.
No es lo mismo.,It's not the same.
No es demasiado profundo.,It's not too deep.
No es demasiado tarde.,It's not too late.
No depende de mí.,It's not up to me.
No me corresponde.,It's not up to me.
Es ahora o nunca.,It's now or never.
Esta va por la casa.,It's on the house.
Invita la casa.,It's on the house.
Está en la mesa.,It's on the table.
Está sobre la mesa.,It's on the table.
Es uno de esos.,It's one of those.
Es uno de aquellos.,It's one of those.
Sólo es un sueño.,It's only a dream.
Es solo un sueño.,It's only a dream.
Probablemente sea Tom.,It's probably Tom.
Es discutible.,It's questionable.
Llueve mucho.,It's raining hard.
Está lloviendo aquí.,It's raining here.
Es muy duro.,It's really tough.
Está realmente ventoso.,It's really windy.
Es realmente ventoso.,It's really windy.
Está nevando aquí.,It's snowing here.
Es tan bello.,It's so beautiful.
Es tan bella.,It's so beautiful.
Es tan agradable aquí.,It's so nice here.
Todavía es lunes.,It's still Monday.
Todavía está cerrado.,It's still closed.
Aún está subiendo.,It's still rising.
Es el mismo sombrero.,It's the same hat.
Es hora de irse a la cama.,It's time for bed.
Es hora de irte a la cama.,It's time for bed.
Viene de molde.,It's to the point.
Es muy tarde ahora.,It's too late now.
¡Eso es increíble!,It's unbelievable.
Es muy obvio.,It's very obvious.
Es muy popular.,It's very popular.
Hace calor aquí.,It's warm in here.
Es tu hora de dormir.,It's your bedtime.
"Venga, ven aquí.",Just come up here.
Limítate a venir aquí.,Just come up here.
Solo hazlo lo mejor posible.,Just do your best.
Solo hazlo lo mejor que puedas.,Just do your best.
Dale tiempo.,Just give it time.
Simplemente sigue hablando.,Just keep talking.
Déjame dormir.,Just let me sleep.
Limítate a escucharme.,Just listen to me.
Escúchame y punto.,Just listen to me.
Solo mira afuera.,Just look outside.
Coge una.,Just pick one out.
Limítate a coger una.,Just pick one out.
Hazlo poco a poco.,Just take it slow.
Dame la mano.,Just take my hand.
No te me acerques.,Keep away from me.
Mantente alejado de mí.,Keep away from me.
Mantente alejada de mí.,Keep away from me.
Estate lejos de mí.,Keep away from me.
Manténgase alejado de mí.,Keep away from me.
Mantén tu frente en alto.,Keep your chin up.
Quédate con el abrigo puesto.,Keep your coat on.
A los niños les gusta jugar.,Kids like to play.
A los chicos les gusta jugar.,Kids like to play.
Los niños son así.,Kids will be kids.
"Ya te vale, Tom.","Knock it off, Tom."
"Deja a Tom aquí, conmigo.",Leave Tom with me.
¡Vete inmediatamente!,Leave immediately!
¡Sal inmediatamente!,Leave immediately!
Déjame llevarlo.,Let me carry that.
Deja que lleve eso.,Let me carry that.
Deja que lo lleve.,Let me carry that.
"Déjame terminar, ¿vale?","Let me finish, OK?"
"Deja que termine, ¿no?","Let me finish, OK?"
Déjame intentarlo.,Let me have a try.
Déjame probarlo.,Let me have a try.
Déjame probar.,Let me have a try.
Dejame intentar.,Let me have a try.
Permítame entrar.,"Let me in, please."
Permítame pasar.,"Let me in, please."
Déjame ver el menú.,Let me see a menu.
Seamos creativos.,Let's be creative.
Entonces empecemos.,"Let's begin, then."
Hagámoslo de nuevo.,Let's do it again.
Hagamos el trabajo.,Let's do the work.
Terminemos esto.,Let's finish this.
Casémonos.,Let's get married.
¡Empecemos!,Let's get started.
Comencemos.,Let's get started.
Vamos al centro.,Let's go downtown.
Vayamos y averigüémoslo.,Let's go find out.
Entremos allí.,Let's go in there.
Vayamos a nadar.,Let's go swimming.
Vamos hacia allá.,Let's go that way.
Vayamos por aquí.,Let's go this way.
Echemos un vistazo.,Let's have a look.
Cenemos.,Let's have dinner.
"Démonos prisa, Tom.","Let's hustle, Tom."
Investiguemos.,Let's investigate.
Hagamos una torta.,Let's make a cake.
¡No lo escondamos!,Let's not hide it.
¡Vamos a jugar al fútbol!,Let's play soccer.
Démonos la mano.,Let's shake hands.
"Vamos, cantemos una canción.",Let's sing a song.
Pasemos adentro.,Let's step inside.
Echemos un vistazo.,Let's take a look.
Tomemos un taxi.,Let's take a taxi.
Cojamos un taxi.,Let's take a taxi.
Hagamos un viaje.,Let's take a trip.
Echemos una moneda al aire.,Let's toss a coin.
Probemos a leer.,Let's try to read.
La vida es bella.,Life is beautiful.
La vida es hermosa.,Life is beautiful.
La vida es dura.,Life is difficult.
La vida es divertida.,Life is enjoyable.
La vida es cara.,Life is expensive.
La vida es tan injusta.,Life is so unfair.
La vida es demasiado corta.,Life is too short.
La vida es muy dura.,Life is very hard.
La vida es maravillosa.,Life is wonderful.
Vive y deja vivir.,Live and let live.
Vivir no es fácil.,Living isn't easy.
Mucho tiempo sin vernos.,"Long time, no see."
Ha pasado mucho tiempo.,"Long time, no see."
Mira el precio.,Look at the price.
Mira qué lío.,Look at this mess.
Cuidado con las abejas.,Look out for bees.
El amor vence todo.,Love conquers all.
Haz una predicción.,Make a prediction.
Decídete.,Make up your mind.
María tiene ojos grandes.,Mary has big eyes.
Mary tiene los ojos grandes.,Mary has big eyes.
Mary es hermosa.,Mary is beautiful.
Mary es mi madre.,Mary is my mother.
¡María es tan linda!,Mary is so pretty.
¡Que Dios te bendiga!,May God bless you.
¿Me puedo ir a casa ahora?,May I go home now?
¿Puedo ir con él?,May I go with him?
¿Puedo ponerlo aquí?,May I put it here?
¿Puedo tomar un descanso?,May I take a rest?
¿Puedo hablar con Tom?,May I talk to Tom?
¿Puedo hablar con vosotros?,May I talk to you?
¿Puedo probarme esto?,May I try this on?
Quizá Tom está muerto.,Maybe Tom is dead.
Tal vez es una trampa.,Maybe it's a trap.
Tal vez podamos conversar.,Maybe we can talk.
Cuida tus modales.,Mind your manners.
El lunes no va bien.,Monday's not good.
Tengo los brazos cansados.,My arms are tired.
Mis brazos se entumecieron.,My arms went numb.
Me robaron mi mochila.,My bag was stolen.
Mis perros son blancos.,My dogs are white.
Me pican los ojos.,My eyes are itchy.
Tengo los ojos cansados.,My eyes are tired.
Mi padre está ocupado.,My father is busy.
Mi padre está en casa.,My father is home.
Mi padre es rico.,My father is rich.
Mi padre es alto.,My father is tall.
Mi vaso está vacío.,My glass is empty.
Tengo las manos atadas.,My hands are tied.
Me duele el corazón.,My heart's aching.
Me arde el corazón.,My heart's aching.
Mi afición es la música.,My hobby is music.
Mi caballo es negro.,My horse is black.
Mi caballo es blanco.,My horse is white.
Mi casa está vacía.,My house is empty.
Mi casa es pequeña.,My house is small.
Mi vida es aburrida.,My life is boring.
No me llamo Tom.,My name isn't Tom.
Mis zapatos han desaparecido.,My shoes are gone.
Me duele el hombro.,My shoulder hurts.
Tengo el estómago lleno.,My stomach's full.
Tengo la panza llena.,My stomach's full.
Mi tío está enojado.,My uncle is angry.
Mi tío está enfadado.,My uncle is angry.
Mi mujer se encontraba allí.,My wife was there.
Mi mujer estaba allí.,My wife was there.
Nadie vive aquí.,No one lives here.
Aquí no vive nadie.,No one lives here.
"No, no ayudé.","No, I didn't help."
Nadie le ayudó.,Nobody helped her.
Nadie la ayudó.,Nobody helped her.
Nadie es perfecto.,Nobody is perfect.
Nadie lo sabe.,Nobody knows this.
A nadie le gustan las ratas.,Nobody likes rats.
Las ratas no le gustan a nadie.,Nobody likes rats.
Nadie vive aquí.,Nobody lives here.
Aquí no vive nadie.,Nobody lives here.
Nadie se ofrece voluntario.,Nobody volunteers.
Nadie fue ahí.,Nobody went there.
Nadie se está riendo.,Nobody's laughing.
Nadie ha visto a Tom.,Nobody's seen Tom.
Nada se ha movido.,Nothing had moved.
Nada estuvo mal.,Nothing was wrong.
Nada estaba mal.,Nothing was wrong.
Nada va a ayudar.,Nothing will help.
No funciona nada.,Nothing's working.
Ahora me siento culpable.,Now I feel guilty.
Ahora depende de mí.,Now it's up to me.
Ahora me corresponde a mí.,Now it's up to me.
Ahora pon atención.,Now pay attention.
Ahora estamos hablando.,Now we're talking.
¿Y ahora qué hacemos?,Now what do we do?
"Una vez más, por favor.","Once more, please."
Se nos acabó el dinero.,Our money ran out.
Paga lo que tu quieras.,Pay what you want.
Por favor tené paciencia.,Please be patient.
Por favor tenga paciencia.,Please be patient.
Por favor ten paciencia.,Please be patient.
"Por favor, llame de nuevo.",Please call again.
"Por favor, ven de nuevo.",Please come again.
"Por favor, ven otra vez.",Please come again.
"Por favor, no pares.",Please don't stop.
"No hables, por favor.",Please don't talk.
Explícamelo.,Please explain it.
Explícate.,Please explain it.
¿Puedes explicarte?,Please explain it.
"Por favor, perdóname.",Please forgive me.
"Perdóneme, por favor.",Please forgive me.
Debe perdonarme.,Please forgive me.
"Por favor, déjame pagar.",Please let me pay.
Reconsidera tu postura.,Please reconsider.
"Por favor, enciéndelo.",Please turn it on.
"Por favor, espera un poquito.",Please wait a bit.
"Envuélvalo, por favor.",Please wrap it up.
¡Tape usted esa gotera!,Plug up that leak!
Los poetas escriben poemas.,Poets write poems.
Hazte pasar por mí.,Pretend you're me.
Los precios están subiendo.,Prices are rising.
Ponelo en mi escritorio.,Put it on my desk.
Póngalo allí.,Put it over there.
Ponte tus zapatos.,Put on your shoes.
Apaga la luz.,Put out the light.
Apague la luz.,Put out the light.
Baja tu arma.,Put your gun down.
Baja el arma.,Put your gun down.
¡Arriba las manos!,Put your hands up!
Para de molestarme.,Quit bothering me.
Deja de quejarte.,Quit your whining.
Léalo otra vez.,Read it once more.
Las alfombras absorben el sonido.,Rugs absorb sound.
Dilo en inglés.,Say it in English.
Dígalo en inglés.,Say it in English.
Di lo que quieras.,Say what you want.
Atorníllalo firmemente.,Screw it in tight.
Te veré en Boston.,See you in Boston.
¡Hasta la próxima semana!,See you next week!
Te veo la próxima semana.,See you next week.
Te veo la semana que viene.,See you next week.
Nos vemos el lunes.,See you on Monday.
Envíamelo ahora.,Send it to me now.
Mándamelo ahora.,Send it to me now.
Comió una manzana.,She ate one apple.
Ella empezó a cantar.,She began to sing.
Ella debutó.,She began to sing.
Ella puede manejarlo.,She can handle it.
Ella puede saltar alto.,She can jump high.
No puede hacerlo.,She can't do that.
Ella cocina para él.,She cooks for him.
Ella decidió ir.,She decided to go.
Ella sí vino aquí.,She did come here.
Ella lo hizo con facilidad.,She did it easily.
Ella no respondió.,She didn't answer.
No respondió.,She didn't answer.
Ella no fue lejos.,She didn't go far.
Ella murió del shock.,She died of shock.
Ella me vuelve loco.,She drives me mad.
Ella me fascinaba.,She fascinated me.
Ella le emborrachó.,She got him drunk.
Ella tiene una bicicleta.,She has a bicycle.
Tiene una bicicleta.,She has a bicycle.
Ella tiene una fotografía.,She has a picture.
Ella tiene los ojos azules.,She has blue eyes.
Ella tiene el pelo largo.,She has long hair.
Tiene el pelo largo.,She has long hair.
Ella tiene el cabello largo.,She has long hair.
Tiene pelo largo.,She has long hair.
Tiene buenas piernas.,She has nice legs.
No tiene figura.,She has no figure.
No tiene tipo.,She has no figure.
No tiene planta.,She has no figure.
Ella odia las zanahorias.,She hates carrots.
Ella odia correr.,She hates running.
Le oyó llorar.,She heard him cry.
Ella es agresiva.,She is aggressive.
Ella es su amiga.,She is her friend.
Ella es su amiga.,She is his friend.
Ella no se ha levantado todavía.,She is not up yet.
Ella tiene 31 años.,She is thirty-one.
Ella no está casada.,She isn't married.
Ella no está corriendo.,She isn't running.
